# results of script local_minima
size_of_hidden_layer,training_error,test_error,number_of_epochs,training_time
20,0.022599995136260986,0.16809231042861938,85,62.00467276573181
30,0.04280000925064087,0.16926151514053345,66,49.884021043777466
40,0.04460000991821289,0.17015385627746582,70,51.61825132369995
5,0.13179999589920044,0.20836925506591797,50,33.18518662452698
10,0.053600013256073,0.176230788230896,68,45.21222472190857
20,0.052799999713897705,0.18933844566345215,67,45.23131489753723
30,0.029600024223327637,0.17401540279388428,87,66.33629751205444
40,0.04839998483657837,0.16506153345108032,56,46.02728247642517
5,0.11239999532699585,0.2074461579322815,77,90.1702082157135
10,0.07359999418258667,0.17227691411972046,45,56.97787117958069
20,0.05720001459121704,0.18347692489624023,63,72.26749539375305
30,0.01759999990463257,0.15986156463623047,83,95.81424045562744
40,0.023000001907348633,0.15913844108581543,78,93.06384658813477
5,0.142799973487854,0.2211538553237915,42,49.145068407058716
10,0.05699998140335083,0.1852307915687561,77,86.22223949432373
20,0.05199998617172241,0.1801384687423706,85,72.85535478591919
30,0.03759998083114624,0.17906153202056885,77,62.72512722015381
40,0.05440002679824829,0.16701537370681763,52,34.560490131378174
5,0.1064000129699707,0.20055383443832397,57,35.242993116378784
10,0.05940002202987671,0.18870770931243896,80,49.58839130401611
20,0.056599974632263184,0.1734461784362793,69,43.97107434272766
30,0.022000014781951904,0.1620769500732422,68,43.98055577278137
40,0.007200002670288086,0.16107690334320068,98,63.072418451309204
5,0.14719998836517334,0.22715383768081665,49,32.34368109703064
10,0.06400001049041748,0.1845846176147461,75,46.82458424568176
20,0.03380000591278076,0.16887694597244263,70,44.57518219947815
30,0.025399982929229736,0.16101539134979248,72,46.18746638298035
40,0.011799991130828857,0.15513843297958374,81,52.88804268836975
5,0.09859997034072876,0.2002153992652893,69,36.43256950378418
10,0.0777999758720398,0.1955384612083435,77,37.713892698287964
20,0.04079997539520264,0.17692309617996216,72,36.82097291946411
30,0.03140002489089966,0.1715538501739502,71,36.876638412475586
40,0.023800015449523926,0.15515387058258057,63,33.4871780872345
5,0.1029999852180481,0.20212310552597046,63,28.500889539718628
10,0.07099997997283936,0.18590772151947021,79,37.73073935508728
20,0.03320002555847168,0.17535382509231567,95,46.06367254257202
30,0.040199995040893555,0.16383075714111328,63,31.443188428878784
40,0.015999972820281982,0.15952306985855103,73,37.55467677116394
5,0.15200001001358032,0.22849231958389282,58,25.71252703666687
10,0.06459999084472656,0.18087691068649292,68,30.565834760665894
20,0.03020000457763672,0.16275382041931152,76,34.60984134674072
30,0.046999990940093994,0.17040002346038818,60,28.12947988510132
40,0.021399974822998047,0.1574615240097046,71,33.63260221481323
5,0.11040002107620239,0.20949232578277588,65,28.97184181213379
10,0.06180000305175781,0.17852306365966797,57,25.844948291778564
20,0.021600008010864258,0.17012310028076172,100,44.96010112762451
30,0.037400007247924805,0.16818463802337646,60,28.178789377212524
40,0.0350000262260437,0.16530770063400269,61,28.99921464920044
5,0.10019999742507935,0.2070307731628418,83,36.96090650558472
10,0.04519999027252197,0.1771538257598877,85,37.679114818573
20,0.017199993133544922,0.1739230751991272,104,46.479095220565796
30,0.04559999704360962,0.19063079357147217,91,42.01402997970581
40,0.018999993801116943,0.15721535682678223,75,35.582367181777954
5,0.0989999771118164,0.19326156377792358,52,23.52203345298767
10,0.06400001049041748,0.17761540412902832,74,33.05153298377991
20,0.046999990940093994,0.17255383729934692,65,30.25378131866455
30,0.02740001678466797,0.16138464212417603,72,33.51872754096985
40,0.009000003337860107,0.15901535749435425,89,41.51035523414612
5,0.12760001420974731,0.21278458833694458,56,25.39015007019043
10,0.056599974632263184,0.1794307827949524,63,28.342928409576416
